driver_age,vehicle_value,vehicle_age,annual_mileage,region,driving_experience,claim_count,claim_cost,pure_premium
39,16480.64,15,9008,south,21,1,552.06,552.06
43,43202.31,14,40261,east,25,0,0.0,0.0
51,11821.33,19,7519,east,33,1,537.23,537.23
44,17461.91,17,48296,central,26,0,0.0,0.0
53,17674.49,19,33010,north,35,1,616.06,616.06
58,32510.04,18,19147,north,40,0,0.0,0.0
44,18860.08,12,48724,central,26,0,0.0,0.0
32,10440.46,8,8720,north,14,0,0.0,0.0
49,10592.14,6,38661,north,31,0,0.0,0.0
62,8274.05,13,34394,west,44,1,479.98,479.98
33,49574.24,10,22939,north,15,0,0.0,0.0
45,14040.48,3,18253,north,27,0,0.0,0.0
61,12757.89,18,7381,south,43,1,187.18,187.18
39,31210.32,19,8672,west,21,0,0.0,0.0
50,13545.91,13,16258,central,32,0,0.0,0.0
38,24230.46,20,21166,central,20,0,0.0,0.0
32,15884.41,14,7986,central,14,0,0.0,0.0
34,14742.19,16,13128,west,16,0,0.0,0.0
48,15152.0,4,18339,north,30,0,0.0,0.0
45,6125.86,20,32925,north,27,0,0.0,0.0
50,11238.23,17,46734,west,32,0,0.0,0.0
33,30217.45,9,17884,central,15,0,0.0,0.0
53,41994.46,1,35582,north,35,0,0.0,0.0
32,17794.7,17,40521,east,14,1,256.93,256.93
50,23061.24,7,25569,central,32,0,0.0,0.0
47,65423.24,17,47047,central,29,0,0.0,0.0
27,32057.1,16,27522,west,9,0,0.0,0.0
53,33620.61,14,14332,south,35,0,0.0,0.0
41,16811.64,3,48416,south,23,0,0.0,0.0
66,31358.9,13,21132,west,48,0,0.0,0.0
38,17312.31,4,27680,east,20,0,0.0,0.0
62,34023.09,20,26862,east,44,0,0.0,0.0
33,19684.98,17,27792,south,15,0,0.0,0.0
25,19688.95,15,5832,west,7,1,1390.22,1390.22
57,22331.94,10,36933,east,39,1,355.07,355.07
24,7305.32,14,13670,east,6,0,0.0,0.0
29,21191.98,13,36762,west,11,0,0.0,0.0
59,32081.5,5,30565,north,41,2,549.24,1098.48
40,24670.97,9,30587,central,22,0,0.0,0.0
46,9680.86,15,41512,east,28,0,0.0,0.0
55,17659.43,14,36810,west,37,0,0.0,0.0
53,46431.58,2,10256,east,35,0,0.0,0.0
38,26744.4,17,19077,central,20,0,0.0,0.0
23,17994.89,8,20774,central,5,1,596.11,596.11
32,12032.84,6,49926,east,14,1,1552.31,1552.31
34,8592.37,7,48360,central,16,0,0.0,0.0
59,24153.56,5,5846,west,41,0,0.0,0.0
62,15876.46,15,26744,north,44,0,0.0,0.0
26,44899.83,18,23136,central,8,0,0.0,0.0
39,15804.67,12,42995,east,21,0,0.0,0.0
66,7212.96,2,24840,north,48,1,976.11,976.11
40,15945.22,5,36947,west,22,1,1224.39,1224.39
51,9481.8,20,40226,central,33,0,0.0,0.0
50,14091.8,8,32220,north,32,0,0.0,0.0
49,24989.44,10,37607,west,31,2,1705.33,3410.66
38,17358.78,13,26835,central,20,0,0.0,0.0
28,16813.76,11,26300,central,10,0,0.0,0.0
47,20527.72,19,25149,north,29,0,0.0,0.0
53,43596.16,10,15970,north,35,0,0.0,0.0
24,15806.77,18,5312,west,6,0,0.0,0.0
68,24734.33,7,14892,west,50,0,0.0,0.0
20,10716.0,11,42315,east,2,0,0.0,0.0
21,15967.18,3,44477,north,3,0,0.0,0.0
28,8959.02,16,24586,south,10,1,881.24,881.24
36,15898.72,1,37530,east,18,0,0.0,0.0
42,15366.65,14,46806,north,24,0,0.0,0.0
40,14789.94,20,18416,east,22,0,0.0,0.0
43,10827.52,3,36174,east,25,0,0.0,0.0
34,17347.76,17,8096,south,16,0,0.0,0.0
64,8846.18,15,33224,east,46,0,0.0,0.0
36,12733.2,3,17502,south,18,0,0.0,0.0
39,9770.58,15,13358,south,21,0,0.0,0.0
28,12263.73,7,31839,central,10,0,0.0,0.0
41,22350.38,3,17245,south,23,1,422.54,422.54
59,7391.71,17,26419,east,41,0,0.0,0.0
64,19836.79,5,36280,north,46,0,0.0,0.0
51,64136.81,13,49352,west,33,1,4681.72,4681.72
44,21022.12,6,43604,west,26,0,0.0,0.0
39,16665.89,6,6666,north,21,0,0.0,0.0
52,49349.15,17,40254,east,34,1,6393.17,6393.17
35,15895.71,1,39263,north,17,1,781.42,781.42
50,36718.71,7,47457,south,32,0,0.0,0.0
44,17761.92,2,27182,west,26,0,0.0,0.0
46,13756.33,6,28517,east,28,0,0.0,0.0
59,10243.47,7,36123,east,41,0,0.0,0.0
27,26172.98,15,48436,north,9,0,0.0,0.0
46,20654.04,19,38224,east,28,0,0.0,0.0
41,29482.79,11,32950,east,23,0,0.0,0.0
49,19601.14,7,5153,west,31,0,0.0,0.0
48,16744.85,5,42508,south,30,0,0.0,0.0
46,20105.51,18,34690,south,28,0,0.0,0.0
57,15612.6,20,17010,south,39,0,0.0,0.0
64,10475.81,14,26336,south,46,0,0.0,0.0
40,11323.51,11,43693,south,22,0,0.0,0.0
34,10667.02,1,14107,central,16,2,449.61,899.22
23,29150.44,11,24395,south,5,0,0.0,0.0
67,9620.07,16,45335,central,49,1,1482.97,1482.97
30,33733.78,18,41941,west,12,0,0.0,0.0
39,25062.0,4,28419,west,21,0,0.0,0.0
41,39814.06,7,27413,north,23,0,0.0,0.0
32,15264.15,8,27982,south,14,1,971.17,971.17
40,17419.41,4,26292,south,22,0,0.0,0.0
64,15033.74,1,13878,east,46,0,0.0,0.0
20,33953.78,17,46674,central,2,0,0.0,0.0
34,15339.2,14,44354,west,16,2,345.13,690.26
34,15203.45,14,49736,west,16,0,0.0,0.0
49,9995.08,12,16399,north,31,0,0.0,0.0
28,20886.02,20,27693,central,10,0,0.0,0.0
34,58062.42,4,16166,south,16,0,0.0,0.0
34,28752.02,19,26120,south,16,1,2059.56,2059.56
42,12026.36,17,6460,north,24,1,864.85,864.85
37,36195.61,12,34702,west,19,3,1372.03,4116.09
31,12264.92,17,29668,central,13,0,0.0,0.0
55,38859.62,16,6136,south,37,0,0.0,0.0
60,24293.89,15,43038,central,42,0,0.0,0.0
50,13579.81,4,36549,east,32,0,0.0,0.0
63,20481.01,15,11190,north,45,0,0.0,0.0
31,13608.82,14,11172,central,13,0,0.0,0.0
50,16335.17,9,40704,west,32,1,596.95,596.95
34,37282.08,17,29800,east,16,1,145.51,145.51
53,6203.02,12,47951,east,35,1,609.67,609.67
44,19275.62,15,28963,north,26,0,0.0,0.0
49,31191.08,6,39530,south,31,0,0.0,0.0
29,12181.68,19,39484,west,11,0,0.0,0.0
56,9037.87,12,38604,south,38,2,2566.32,5132.64
59,29311.04,8,29653,east,41,1,1423.73,1423.73
20,13727.01,19,26416,west,2,3,478.97,1436.91
24,35561.56,6,17974,central,6,0,0.0,0.0
52,17996.29,19,23067,south,34,0,0.0,0.0
37,10638.59,17,12755,north,19,1,50.56,50.56
41,28821.52,15,24963,west,23,0,0.0,0.0
25,26869.39,18,42678,central,7,1,1622.26,1622.26
44,28923.15,15,8894,south,26,0,0.0,0.0
48,9798.95,10,31231,west,30,0,0.0,0.0
54,13797.68,9,15861,south,36,0,0.0,0.0
64,15969.82,4,20285,west,46,0,0.0,0.0
23,11569.87,13,20484,north,5,0,0.0,0.0
37,23262.23,11,48380,central,19,1,436.55,436.55
46,37865.73,9,9856,central,28,0,0.0,0.0
46,21694.51,5,45788,east,28,1,1211.72,1211.72
45,24044.02,4,24052,west,27,0,0.0,0.0
37,20378.76,8,29667,west,19,0,0.0,0.0
35,9503.77,11,44006,north,17,0,0.0,0.0
36,31824.24,7,15638,west,18,0,0.0,0.0
25,34000.51,20,30190,east,7,0,0.0,0.0
34,9906.67,2,18419,north,16,1,223.98,223.98
42,17231.55,12,10964,north,24,0,0.0,0.0
62,30767.88,15,24492,north,44,0,0.0,0.0
58,33880.56,10,32388,north,40,0,0.0,0.0
63,11611.47,5,42866,east,45,0,0.0,0.0
31,23152.32,7,7058,central,13,0,0.0,0.0
40,28637.23,5,46811,east,22,1,908.69,908.69
61,17052.73,11,29992,north,43,0,0.0,0.0
67,24817.81,18,9755,central,49,1,898.67,898.67
43,20454.14,8,6845,east,25,0,0.0,0.0
29,14093.76,17,8359,west,11,0,0.0,0.0
39,15873.88,6,24189,north,21,0,0.0,0.0
41,25710.48,19,26808,north,23,0,0.0,0.0
48,16466.56,17,26032,north,30,0,0.0,0.0
61,8746.54,14,23599,north,43,0,0.0,0.0
40,29113.64,19,43576,south,22,0,0.0,0.0
64,26736.17,10,20747,west,46,0,0.0,0.0
64,16534.56,10,9255,central,46,0,0.0,0.0
62,14509.84,19,8807,north,44,0,0.0,0.0
31,11292.06,16,43350,central,13,0,0.0,0.0
53,15034.21,5,41618,west,35,0,0.0,0.0
26,5833.76,18,26902,central,8,0,0.0,0.0
29,10374.38,7,10990,south,11,0,0.0,0.0
59,7120.0,8,29924,north,41,0,0.0,0.0
31,46648.53,3,10979,central,13,0,0.0,0.0
29,14838.8,5,13081,west,11,0,0.0,0.0
60,4266.92,3,49878,west,42,1,401.03,401.03
40,34516.29,18,43709,central,22,0,0.0,0.0
32,14613.49,4,6506,north,14,0,0.0,0.0
34,33215.97,3,42098,north,16,0,0.0,0.0
60,13871.1,9,43106,south,42,0,0.0,0.0
22,11145.62,6,41854,central,4,0,0.0,0.0
63,23237.18,6,12647,central,45,0,0.0,0.0
62,23088.99,16,17840,central,44,0,0.0,0.0
39,12900.34,20,29117,south,21,0,0.0,0.0
32,19928.02,13,13824,central,14,1,291.98,291.98
27,14644.84,12,6640,west,9,2,3202.64,6405.28
67,18714.71,13,43217,south,49,0,0.0,0.0
30,27840.22,13,38987,west,12,0,0.0,0.0
27,9992.81,16,10440,west,9,0,0.0,0.0
45,16191.62,8,49278,north,27,0,0.0,0.0
67,21209.81,1,6748,south,49,0,0.0,0.0
62,15893.5,14,31109,east,44,0,0.0,0.0
31,15395.54,17,34044,north,13,1,2216.29,2216.29
37,18190.46,5,27294,east,19,0,0.0,0.0
24,6377.92,3,5210,east,6,0,0.0,0.0
28,17244.62,3,36615,central,10,0,0.0,0.0
48,11072.23,11,14547,west,30,0,0.0,0.0
45,10302.55,19,47792,east,27,0,0.0,0.0
22,10967.54,2,8192,central,4,0,0.0,0.0
45,10229.61,13,9078,north,27,0,0.0,0.0
29,21205.7,4,13938,central,11,0,0.0,0.0
30,14335.87,11,26567,central,12,0,0.0,0.0
42,13136.55,14,24950,west,24,0,0.0,0.0
35,8228.34,11,15995,north,17,0,0.0,0.0
66,36594.51,2,7394,central,48,0,0.0,0.0
44,13257.26,14,17636,north,26,0,0.0,0.0
30,6345.28,17,44659,east,12,0,0.0,0.0
56,13765.22,12,25829,south,38,0,0.0,0.0
40,59502.76,12,47403,north,22,0,0.0,0.0
51,21786.03,7,42603,central,33,0,0.0,0.0
35,22651.02,9,15682,north,17,0,0.0,0.0
48,14573.36,6,20930,east,30,0,0.0,0.0
23,55553.21,18,18921,central,5,0,0.0,0.0
51,10141.39,10,26379,east,33,0,0.0,0.0
35,31156.38,13,49240,south,17,1,881.14,881.14
28,26561.62,5,23473,west,10,0,0.0,0.0
46,31067.69,8,11729,east,28,0,0.0,0.0
26,17473.56,12,12407,west,8,1,327.27,327.27
37,22976.61,3,49629,central,19,1,1366.58,1366.58
49,5566.93,20,10070,north,31,0,0.0,0.0
56,44423.31,5,37815,north,38,0,0.0,0.0
